,,taxon_name,ref_id,sh_id,rep,kingdom,phylum,class,order,family,genus,species,taxon_name_sh,primary_lifestyle,secondary_lifestyle,nematode_feeding,nematode_ecology,decay_type,growth_form,,,,
11,14,Pseudocoleophoma_calamagrostidis,LC014592,SH1514470.09FU,refs_singleton,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Dictyosporiaceae,Pseudocoleophoma,Pseudocoleophoma_calamagrostidis,Pseudocoleophoma_calamagrostidis_SH1514470.09FU,plant_pathogen,NA,,,NA,filamentous_mycelium,,,,
12,16,Acremonium_sp,UDB0836952,SH0885423.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_sp,Acremonium_sp_SH0885423.09FU,unspecified_saprotroph,foliar_endophyte,,,leaf/fruit/seed,soil,dung,animal_material,filamentous_mycelium,
13,18,Ustilago_maydis,UDB016255,SH1058415.09FU,refs,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago_maydis,Ustilago_maydis_SH1058415.09FU,plant_pathogen,NA,,,NA,dimorphic_yeast,,,,
14,19,Cadophora_gregata,MH856781,SH3123052.09FU,refs,Fungi,Ascomycota,Leotiomycetes,Helotiales,Ploettnerulaceae,Cadophora,Cadophora_gregata,Cadophora_gregata_SH3123052.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,filamentous_mycelium,,,,
15,20,Pseudogymnoascus_roseus,DQ117451,SH1477560.09FU,refs,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,Pseudogymnoascus_roseus,Pseudogymnoascus_roseus_SH1477560.09FU,soil_saprotroph,NA,,,soil,filamentous_mycelium,,,,
16,21,Fusicolla_aquaeductuum,KM231823,SH1239877.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,Fusicolla_aquaeductuum,Fusicolla_aquaeductuum_SH1239877.09FU,mycoparasite,fungal_decomposer,,,fungal_material,filamentous_mycelium,,,,
17,23,Stropharia_melanosperma,FJ810140,SH1200750.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Stropharia,Stropharia_melanosperma,Stropharia_melanosperma_SH1200750.09FU,litter_saprotroph,NA,,,leaf/fruit/seed,filamentous_mycelium,,,,
18,24,Fusarium_equiseti,GQ505688,SH3082323.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_equiseti,Fusarium_equiseti_SH3082323.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
19,26,Exophiala_sp,MF588877,SH1072520.09FU,reps,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala_sp,Exophiala_sp_SH1072520.09FU,litter_saprotroph,litter_saprotroph,,,leaf/fruit/seed,animal_material,dimorphic_yeast,,,
20,27,Pleotrichocladium_opacum,JN995638,SH0985614.09FU,refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,Pleotrichocladium,Pleotrichocladium_opacum,Pleotrichocladium_opacum_SH0985614.09FU,wood_saprotroph,soil_saprotroph,,,wood,leaf/fruit/seed,soil,filamentous_mycelium,,
21,28,Operculomyces_sp,UDB02585769,SH1166120.09FU,reps,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiales_fam_Incertae_sedis,Operculomyces,Operculomyces_sp,Operculomyces_sp_SH1166120.09FU,pollen_saprotroph,NA,,,pollen,zoosporic-rhizomycelial_(chytrid-like),,,,
22,29,Penicillium_sp,UDB0162238,SH1056194.09FU,reps,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_sp,Penicillium_sp_SH1056194.09FU,unspecified_saprotroph,foliar_endophyte,,,soil,filamentous_mycelium,,,,
23,30,Mortierella_sp,UDB04628487,SH1204958.09FU,reps,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp,Mortierella_sp_SH1204958.09FU,soil_saprotroph,root-associated,,,roots,soil,filamentous_mycelium,,,
24,31,Didymosphaeriaceae_sp,UDB05199723,SH0976572.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Didymosphaeriaceae_gen_Incertae_sedis,Didymosphaeriaceae_sp,Didymosphaeriaceae_sp_SH0976572.09FU,NA,NA,,,NA,NA,,,,
25,32,Agaricales_sp,UDB0896463,SH1124928.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricales_fam_Incertae_sedis,Agaricales_gen_Incertae_sedis,Agaricales_sp,Agaricales_sp_SH1124928.09FU,NA,NA,,,NA,NA,,,,
26,33,Fusarium_pseudensiforme,JF433037,SH1079718.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_pseudensiforme,Fusarium_pseudensiforme_SH1079718.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
27,35,Rhizophydiales_sp,UDB06469855,SH1209399.09FU,reps,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiales_fam_Incertae_sedis,Rhizophydiales_gen_Incertae_sedis,Rhizophydiales_sp,Rhizophydiales_sp_SH1209399.09FU,NA,NA,,,NA,NA,,,,
28,36,Kickxellomycota_sp,UDB0340342,SH1329011.09FU,reps,Fungi,Kickxellomycota,Kickxellomycota_cls_Incertae_sedis,Kickxellomycota_ord_Incertae_sedis,Kickxellomycota_fam_Incertae_sedis,Kickxellomycota_gen_Incertae_sedis,Kickxellomycota_sp,Kickxellomycota_sp_SH1329011.09FU,NA,NA,,,NA,NA,,,,
29,39,Fusarium_haematococcum,JF433035,SH1445051.09FU,refs_singleton,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_haematococcum,Fusarium_haematococcum_SH1445051.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
30,40,Triscelophorus_sp,UDB06732142,SH0916782.09FU,reps,Fungi,Ascomycota,Pezizomycotina_cls_Incertae_sedis,Pezizomycotina_ord_Incertae_sedis,Pezizomycotina_fam_Incertae_sedis,Triscelophorus,Triscelophorus_sp,Triscelophorus_sp_SH0916782.09FU,litter_saprotroph,litter_saprotroph,,,leaf/fruit/seed,filamentous_mycelium,,,,
31,41,Helotiales_sp,GU055724,SH0975525.09FU,refs,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp,Helotiales_sp_SH0975525.09FU,NA,NA,,,NA,NA,,,,
32,42,Phallus_rugulosus,UDB04517492,SH0947281.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Phallus,Phallus_rugulosus,Phallus_rugulosus_SH0947281.09FU,soil_saprotroph,NA,,,soil,filamentous_mycelium,,,,
33,43,Mucor_hiemalis,UDB04966420,SH1270676.09FU,reps,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor_hiemalis,Mucor_hiemalis_SH1270676.09FU,soil_saprotroph,NA,,,soil,filamentous_mycelium,,,,
34,44,Disciseda_cervina,MN338569,SH0948384.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Disciseda,Disciseda_cervina,Disciseda_cervina_SH0948384.09FU,soil_saprotroph,NA,,,soil,filamentous_mycelium,,,,
35,45,Humicola_repens,MH444275,SH2143709.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola,Humicola_repens,Humicola_repens_SH2143709.09FU,wood_saprotroph,NA,,,wood,filamentous_mycelium,,,,
36,46,Mortierella_sp,UDB0578238,SH1174856.09FU,reps,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp,Mortierella_sp_SH1174856.09FU,soil_saprotroph,root-associated,,,roots,soil,filamentous_mycelium,,,
37,47,Fungi_sp,MN603006,SH0933502.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH0933502.09FU,NA,NA,,,NA,NA,,,,
38,48,Rhizophydiaceae_sp,UDB06437846,SH0908777.09FU,reps,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiaceae,Rhizophydiaceae_gen_Incertae_sedis,Rhizophydiaceae_sp,Rhizophydiaceae_sp_SH0908777.09FU,NA,NA,,,NA,NA,,,,
39,50,Bipolaris_sp,HE820842,SH0984654.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris_sp,Bipolaris_sp_SH0984654.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,filamentous_mycelium,,,,
40,51,Ascomycota_sp,HM162090,SH1009332.09FU,reps,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Ascomycota_sp_SH1009332.09FU,NA,NA,,,NA,NA,,,,
41,52,Nectriaceae_sp,KX788197,SH0994942.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Nectriaceae_gen_Incertae_sedis,Nectriaceae_sp,Nectriaceae_sp_SH0994942.09FU,NA,NA,,,NA,NA,,,,
42,53,Onygenales_sp,HG328122,SH0945181.09FU,reps,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenales_fam_Incertae_sedis,Onygenales_gen_Incertae_sedis,Onygenales_sp,Onygenales_sp_SH0945181.09FU,NA,NA,,,NA,NA,,,,
43,55,Rhizophlyctis_sp,UDB06412835,SH1067624.09FU,reps,Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,Rhizophlyctidaceae,Rhizophlyctis,Rhizophlyctis_sp,Rhizophlyctis_sp_SH1067624.09FU,litter_saprotroph,algal_parasite,,,leaf/fruit/seed,algal_material,zoosporic-rhizomycelial_(chytrid-like),,,
44,56,Corynespora_cassiicola,KF266781,SH0978221.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Corynesporascaceae,Corynespora,Corynespora_cassiicola,Corynespora_cassiicola_SH0978221.09FU,plant_pathogen,NA,,,NA,filamentous_mycelium,,,,
45,58,Trichocladium_crispatum,LT993636,SH3926352.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,Trichocladium_crispatum,Trichocladium_crispatum_SH3926352.09FU,unspecified_saprotroph,NA,,,NA,filamentous_mycelium,,,,
46,60,Fungi_sp,MZ448583,SH0994959.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH0994959.09FU,NA,NA,,,NA,NA,,,,
47,61,Chromocleista_sp,FJ430751,SH0906985.09FU,reps,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Chromocleista,Chromocleista_sp,Chromocleista_sp_SH0906985.09FU,unspecified_saprotroph,NA,,,NA,filamentous_mycelium,,,,
48,62,Tausonia_pullulans,AF444417,SH1071204.09FU,refs,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Tausonia,Tausonia_pullulans,Tausonia_pullulans_SH1071204.09FU,soil_saprotroph,NA,,,soil,yeast,,,,
49,63,Plectosphaerella_slobbergiarum,MW883443,SH3177798.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Plectosphaerella,Plectosphaerella_slobbergiarum,Plectosphaerella_slobbergiarum_SH3177798.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,animal_material,filamentous_mycelium,,,
50,64,Trichoderma_turrialbense,EU330945,SH0961471.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma_turrialbense,Trichoderma_turrialbense_SH0961471.09FU,mycoparasite,foliar_endophyte,,,leaf/fruit/seed,soil,fungal_material,filamentous_mycelium,,
51,66,Sagenomella_oligospora,LT633929,SH0997120.09FU,refs,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Sagenomella,Sagenomella_oligospora,Sagenomella_oligospora_SH0997120.09FU,unspecified_saprotroph,NA,,,NA,filamentous_mycelium,,,,
52,67,Rhizophydiales_sp,UDB06473178,SH1209410.09FU,reps,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiales_fam_Incertae_sedis,Rhizophydiales_gen_Incertae_sedis,Rhizophydiales_sp,Rhizophydiales_sp_SH1209410.09FU,NA,NA,,,NA,NA,,,,
53,68,Rhizophlyctidales_sp,UDB06395513,SH1265123.09FU,reps,Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,Rhizophlyctidales_fam_Incertae_sedis,Rhizophlyctidales_gen_Incertae_sedis,Rhizophlyctidales_sp,Rhizophlyctidales_sp_SH1265123.09FU,NA,NA,,,NA,NA,,,,
54,69,Helotiales_sp,UDB02941416,SH0962969.09FU,reps,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp,Helotiales_sp_SH0962969.09FU,NA,NA,,,NA,NA,,,,
55,70,Fusarium_solani,KT899477,SH0937619.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_solani,Fusarium_solani_SH0937619.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
56,71,Tetragoniomycetaceae_sp,UDB05478668,SH1102023.09FU,reps,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Tetragoniomycetaceae,Tetragoniomycetaceae_gen_Incertae_sedis,Tetragoniomycetaceae_sp,Tetragoniomycetaceae_sp_SH1102023.09FU,NA,NA,,,NA,NA,,,,
57,72,Rhizophydiales_sp,UDB06450673,SH1277881.09FU,reps,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiales_fam_Incertae_sedis,Rhizophydiales_gen_Incertae_sedis,Rhizophydiales_sp,Rhizophydiales_sp_SH1277881.09FU,NA,NA,,,NA,NA,,,,
58,73,Pseudophialocephala_humicola,AF486131,SH0979722.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Pseudophialocephala,Pseudophialocephala_humicola,Pseudophialocephala_humicola_SH0979722.09FU,unspecified_saprotroph,NA,,,NA,NA,,,,
59,74,Pleosporales_sp,HE820818,SH0965597.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Pleosporales_sp,Pleosporales_sp_SH0965597.09FU,NA,NA,,,NA,NA,,,,
60,75,Ascomycota_sp,UDB035498,SH1201889.09FU,reps,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Ascomycota_sp_SH1201889.09FU,NA,NA,,,NA,NA,,,,
61,76,Niesslia_mucida,MG826989,SH1078447.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Niessliaceae,Niesslia,Niesslia_mucida,Niesslia_mucida_SH1078447.09FU,litter_saprotroph,dung_saprotroph,,,wood,leaf/fruit/seed,soil,dung,filamentous_mycelium,
62,81,Ustilago_sp,KF800126,SH1146176.09FU,reps,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago_sp,Ustilago_sp_SH1146176.09FU,plant_pathogen,NA,,,NA,dimorphic_yeast,,,,
63,82,Solicoccozyma_aeria,AF145324,SH1334237.09FU,refs,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_aeria,Solicoccozyma_aeria_SH1334237.09FU,soil_saprotroph,epiphyte,,,soil,yeast,,,,
64,83,Pseudothielavia_arxii,MK926830,SH0881440.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Pseudothielavia,Pseudothielavia_arxii,Pseudothielavia_arxii_SH0881440.09FU,NA,NA,,,NA,NA,,,,
65,84,Mariannaea_punicea,MH857604,SH2333476.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Mariannaea,Mariannaea_punicea,Mariannaea_punicea_SH2333476.09FU,wood_saprotroph,soil_saprotroph,,,wood,leaf/fruit/seed,soil,filamentous_mycelium,,
66,85,Fusicolla_septimanifiniscientiae,MK069422,SH3920575.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,Fusicolla_septimanifiniscientiae,Fusicolla_septimanifiniscientiae_SH3920575.09FU,mycoparasite,fungal_decomposer,,,fungal_material,filamentous_mycelium,,,,
67,86,Pyrenochaetopsis_leptospora,JF740262,SH0994498.09FU,refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaetopsis,Pyrenochaetopsis_leptospora,Pyrenochaetopsis_leptospora_SH0994498.09FU,litter_saprotroph,litter_saprotroph,,,leaf/fruit/seed,filamentous_mycelium,,,,
68,87,Pyrenochaeta_sp,UDB05787445,SH0898088.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaeta,Pyrenochaeta_sp,Pyrenochaeta_sp_SH0898088.09FU,wood_saprotroph,NA,,,wood,filamentous_mycelium,,,,
69,88,Pleosporales_sp,UDB05029361,SH1034430.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Pleosporales_sp,Pleosporales_sp_SH1034430.09FU,NA,NA,,,NA,NA,,,,
70,89,Neocosmospora_rubicola,KM231800,SH3195171.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Neocosmospora,Neocosmospora_rubicola,Neocosmospora_rubicola_SH3195171.09FU,soil_saprotroph,NA,,,soil,filamentous_mycelium,,,,
71,90,Ramophialophora_humicola,FM955449,SH0968847.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Sordariales,Bombardiaceae,Ramophialophora,Ramophialophora_humicola,Ramophialophora_humicola_SH0968847.09FU,soil_saprotroph,NA,,,soil,filamentous_mycelium,,,,
72,94,Conioscypha_bambusicola,LC228645,SH2114567.09FU,refs_singleton,Fungi,Ascomycota,Sordariomycetes,Conioscyphales,Conioscyphaceae,Conioscypha,Conioscypha_bambusicola,Conioscypha_bambusicola_SH2114567.09FU,wood_saprotroph,NA,,,wood,filamentous_mycelium,,,,
73,95,Classiculales_sp,UDB0482515,SH0942590.09FU,reps,Fungi,Basidiomycota,Classiculomycetes,Classiculales,Classiculales_fam_Incertae_sedis,Classiculales_gen_Incertae_sedis,Classiculales_sp,Classiculales_sp_SH0942590.09FU,NA,NA,,,NA,NA,,,,
74,96,Chaetomiaceae_sp,UDB03429203,SH1240735.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomiaceae_gen_Incertae_sedis,Chaetomiaceae_sp,Chaetomiaceae_sp_SH1240735.09FU,NA,NA,,,NA,NA,,,,
75,97,Operculomyces_laminatus,DQ485617,SH1166118.09FU,refs,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiales_fam_Incertae_sedis,Operculomyces,Operculomyces_laminatus,Operculomyces_laminatus_SH1166118.09FU,pollen_saprotroph,NA,,,pollen,zoosporic-rhizomycelial_(chytrid-like),,,,
76,98,Dactylonectria_macrodidyma,AY677290,SH0972898.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Dactylonectria,Dactylonectria_macrodidyma,Dactylonectria_macrodidyma_SH0972898.09FU,plant_pathogen,NA,,,NA,filamentous_mycelium,,,,
77,99,Ascomycota_sp,UDB06311152,SH1276113.09FU,reps,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Ascomycota_sp_SH1276113.09FU,NA,NA,,,NA,NA,,,,
78,100,Schizothecium_sp,UDB06568671,SH0965329.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,Schizothecium_sp,Schizothecium_sp_SH0965329.09FU,dung_saprotroph,NA,,,dung,filamentous_mycelium,,,,
79,101,Fungi_sp,UDB02159475,SH1204849.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1204849.09FU,NA,NA,,,NA,NA,,,,
80,104,Mycena_rosea,UDB0204307,SH1188394.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,Mycena_rosea,Mycena_rosea_SH1188394.09FU,litter_saprotroph,root-associated,,,leaf/fruit/seed,filamentous_mycelium,,,,
81,105,Fusarium_graminearum,AB586992,SH1079370.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_graminearum,Fusarium_graminearum_SH1079370.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
82,107,Trichoderma_virens,AF328552,SH2616631.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma_virens,Trichoderma_virens_SH2616631.09FU,mycoparasite,foliar_endophyte,,,leaf/fruit/seed,soil,fungal_material,filamentous_mycelium,,
83,108,Fusidium_sp,HG936130,SH0953723.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariales_fam_Incertae_sedis,Fusidium,Fusidium_sp,Fusidium_sp_SH0953723.09FU,unspecified_saprotroph,NA,,,NA,filamentous_mycelium,,,,
84,109,Exophiala_alcalophila,JF747041,SH1165412.09FU,refs,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala_alcalophila,Exophiala_alcalophila_SH1165412.09FU,litter_saprotroph,litter_saprotroph,,,leaf/fruit/seed,animal_material,dimorphic_yeast,,,
85,111,Dictyosporiaceae_sp,UDB05155311,SH0958180.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Dictyosporiaceae,Dictyosporiaceae_gen_Incertae_sedis,Dictyosporiaceae_sp,Dictyosporiaceae_sp_SH0958180.09FU,NA,NA,,,NA,NA,,,,
86,113,Tetragoniomyces_sp,UDB05477172,SH0960135.09FU,reps,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Tetragoniomycetaceae,Tetragoniomyces,Tetragoniomyces_sp,Tetragoniomyces_sp_SH0960135.09FU,mycoparasite,fungal_decomposer,,,fungal_material,dimorphic_yeast,,,,
87,115,Melanospora_damnosa,KP981478,SH1106524.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Melanosporales,Melanosporaceae,Melanospora,Melanospora_damnosa,Melanospora_damnosa_SH1106524.09FU,mycoparasite,dung_saprotroph,,,fungal_material,dung,filamentous_mycelium,,,
88,116,Hypocreales_sp,UDB05380007,SH1078444.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Hypocreales_gen_Incertae_sedis,Hypocreales_sp,Hypocreales_sp_SH1078444.09FU,NA,NA,,,NA,NA,,,,
89,117,Humicola_sardiniae,MH444272,SH2145297.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola,Humicola_sardiniae,Humicola_sardiniae_SH2145297.09FU,wood_saprotroph,NA,,,wood,filamentous_mycelium,,,,
